Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[clr.dll]",62,1.07,0x000007FEEC9019C2,0,0,0,0,
"[clr.dll]",3,0.05,0x000007FEEC902900,0,0,0,0,
"[clr.dll]",2,0.03,0x000007FEEC902903,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC902905,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC90290E,0,0,0,0,
"[clr.dll]",2,0.03,0x000007FEEC902912,0,0,0,0,
"[clr.dll]",2,0.03,0x000007FEEC90291B,0,0,0,0,
"[clr.dll]",41,0.71,0x000007FEEC902D07,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC902F94,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC902FAE,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC902FB2,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC902FBA,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC902FCF,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC902FD7,0,0,0,0,
"[clr.dll]",4,0.07,0x000007FEEC902FE0,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9CE9C7,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9CEB36,0,0,0,0,
"[clr.dll]",33,0.57,0x000007FEEC9CECC9,0,0,0,0,
"[clr.dll]",2,0.03,0x000007FEEC9CFAFB,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9CFB46,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9CFBBC,0,0,0,0,
"[clr.dll]",4,0.07,0x000007FEEC9CFBC1,0,0,0,0,
"[clr.dll]",2,0.03,0x000007FEEC9CFBC7,0,0,0,0,
"[clr.dll]",6,0.10,0x000007FEEC9CFBD1,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9CFBD3,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9CFC54,0,0,0,0,
"[clr.dll]",2,0.03,0x000007FEEC9CFC78,0,0,0,0,
"[clr.dll]",9,0.16,0x000007FEEC9CFC8C,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9CFC90,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9D004F,0,0,0,0,
"[clr.dll]",5,0.09,0x000007FEEC9D0057,0,0,0,0,
"[clr.dll]",1,0.02,0x000007FEEC9D0061,0,0,0,0,
"[clr.dll]",2,0.03,0x000007FEEC9D0066,0,0,0,0,
"[clr.dll]",8,0.14,0x000007FEEC9D0074,0,0,0,0,
"[clr.dll]",3,0.05,0x000007FEEC9D0088,0,0,0,0,
"[clr.dll]",4,0.07,0x000007FEEC9D008E,0,0,0,0,
