Mark ID,Mark Name,Timestamp,\Processor(_Total)\% Processor Time,\Memory\Pages/sec,\Processor(_Total)\% Privileged Time,\Processor(_Total)\% User Time,\.NET CLR Exceptions(LibOpenCraft)\# of Exceps Thrown / sec,\.NET CLR Memory(LibOpenCraft)\# Bytes in all Heaps,\.NET CLR Memory(LibOpenCraft)\# Total committed bytes,\.NET CLR Memory(LibOpenCraft)\# Gen 0 Collections,\.NET CLR Memory(LibOpenCraft)\# Gen 1 Collections,\.NET CLR Memory(LibOpenCraft)\# Gen 2 Collections,\.NET CLR Memory(LibOpenCraft)\% Time in GC,\Process(LibOpenCraft)\% Processor Time,\Process(LibOpenCraft)\% Privileged Time,\Process(LibOpenCraft)\% User Time,\Process(LibOpenCraft)\Private Bytes,\.NET CLR LocksAndThreads(LibOpenCraft)\Contention Rate / sec,\Process(LibOpenCraft)\Working Set,
0,"Start of Program",0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,"AutoMark",303.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,521,984",0,"5,898,240",
2,"AutoMark",889.80,100,16,11,84,0,"23,579,016","23,666,688",567,567,567,97,84,0,84,"56,442,880",0,"42,315,776",
3,"AutoMark","1,412.79",100,80,17,83,0,"33,279,768","33,366,016",800,800,800,32,38,8,29,"72,396,800",0,"60,215,296",
4,"AutoMark","1,953.48",98,11,21,76,0,"33,279,768","33,366,016",800,800,800,32,0,0,0,"72,396,800",0,"60,215,296",
5,"AutoMark","2,961.31",81,3,23,57,0,"33,279,768","33,366,016",800,800,800,32,0,0,0,"72,396,800",0,"60,420,096",
6,"AutoMark","3,466.00",75,0,21,55,0,"33,279,768","33,366,016",800,800,800,32,0,0,0,"72,396,800",0,"60,420,096",
7,"AutoMark","4,469.41",68,0,27,40,2,"33,279,768","33,366,016",800,800,800,32,0,0,0,"76,611,584",0,"61,947,904",
8,"AutoMark","5,082.03",93,9,12,80,0,"33,741,048","39,395,328",882,802,801,8,33,0,33,"83,206,144",0,"67,543,040",
9,"AutoMark","5,620.31",100,3,5,95,0,"34,641,856","40,181,760","1,268",804,803,9,86,5,81,"83,927,040",0,"68,464,640",
10,"AutoMark","6,156.53",100,0,11,87,0,"34,641,856","40,181,760","1,662",808,807,8,78,2,75,"83,927,040",0,"68,464,640",
11,"AutoMark","6,694.45",100,0,8,92,0,"34,641,856","40,181,760","2,076",812,811,6,72,0,72,"83,927,040",0,"68,472,832",
12,"AutoMark","7,234.41",100,0,14,83,0,"34,641,864","40,181,760","2,476",816,815,6,72,2,69,"83,927,040",0,"68,472,832",
13,"AutoMark","7,757.71",100,0,8,92,0,"34,641,864","40,181,760","2,881",818,817,10,74,0,74,"84,385,792",0,"68,898,816",
14,"AutoMark","8,280.01",100,0,5,92,0,"34,641,856","40,181,760","3,257",822,821,8,71,0,71,"83,943,424",0,"68,501,504",
15,"AutoMark","8,799.65",100,5,10,91,0,"34,640,920","40,181,760","3,645",826,825,7,69,0,69,"83,943,424",0,"68,513,792",
16,"AutoMark","9,325.25",100,7,8,88,0,"34,641,120","40,181,760","4,047",828,827,6,71,2,68,"83,943,424",0,"68,530,176",
17,"AutoMark","9,847.74",100,0,11,89,0,"34,641,544","40,181,760","4,442",832,831,6,71,0,71,"83,943,424",0,"68,534,272",
18,"AutoMark","10,367.50",100,0,7,91,0,"34,641,120","40,181,760","4,825",836,835,7,75,0,75,"83,943,424",0,"68,534,272",
19,"AutoMark","10,887.99",100,0,10,88,0,"34,641,856","40,181,760","5,216",840,839,7,75,0,75,"83,943,424",0,"68,534,272",
20,"AutoMark","11,403.47",100,0,4,95,0,"34,641,856","40,181,760","5,609",844,843,8,87,0,87,"83,943,424",0,"68,534,272",
21,"AutoMark","11,964.31",100,0,9,90,0,"34,641,744","40,181,760","6,000",848,847,8,58,0,58,"83,943,424",0,"68,534,272",
22,"AutoMark","12,971.85",100,0,6,94,0,"34,641,744","40,181,760","6,728",856,855,7,78,1,77,"83,943,424",0,"68,534,272",
23,"AutoMark","13,512.87",100,0,11,86,0,"34,641,864","40,181,760","7,129",860,859,18,69,0,69,"83,943,424",0,"68,534,272",
24,"AutoMark","14,032.86",100,0,8,92,0,"34,641,864","40,181,760","7,538",864,863,7,65,0,65,"83,943,424",0,"68,542,464",
25,"AutoMark","14,585.86",100,0,4,94,0,"34,641,864","40,181,760","7,977",868,867,7,84,0,84,"83,943,424",0,"68,542,464",
26,"AutoMark","15,129.39",100,0,22,77,0,"34,641,864","40,181,760","8,392",872,871,7,66,0,66,"83,943,424",0,"68,546,560",
